FID_Indore,FID_all_Gr,GRID_ID,Shape_Leng,OBJECTID_1,GRID_ID_1,ZONE_CODE,COUNT,AREA,MEAN,OID_,GRID_ID_12,sum_Road_l,sum_Length,Polyline_C,sum_Transp,Point_Coun,sum_Nos,Point_Co_1,sum_Nos_1,Point_Co_2,School_Nos,Shape_Le_1,Shape_Ar_1,sum_Health,Point_Co_3,Shape_Le_2,Shape_Area,Direction
1,5813,EY-218,2999.955996,3998,EY-218,3998,1,6.94444E-05,300.9147034,52730,,3.492408597,3.490695813,16,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.024843285,4.34052E-05,South_East
1,5814,EZ-218,2999.955996,0,EZ-218,0,0,0,0,52731,,2.307046343,2.307051976,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025924171,4.83851E-05,South_East
1,5815,FA-218,2999.955996,3999,FA-218,3999,1,6.94444E-05,263.0755615,52732,,2.418048555,2.417584207,6,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.017931288,1.4522E-05,South_East
1,5816,FB-218,2999.955996,0,FB-218,0,0,0,0,52733,,1.623993829,1.625278268,2,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.017875158,1.46202E-05,South_East
1,5943,EJ-217,2999.955996,4083,EJ-217,4083,1,6.94444E-05,768.7640991,53211,,1.205246854,1.206397637,2,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.014989577,7.28892E-06,South_West
1,5944,EK-217,2999.955996,4084,EK-217,4084,1,6.94444E-05,872.6447144,53212,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.005448613,7.6851E-07,South_West
1,5945,EL-217,2999.955996,4085,EL-217,4085,1,6.94444E-05,822.7590942,53213,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.023696795,3.68406E-05,South_West
1,5946,EM-217,2999.955996,4086,EM-217,4086,1,6.94444E-05,720.696167,53214,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.022709526,2.79172E-05,South_West
1,5947,EN-217,2999.955996,0,EN-217,0,0,0,0,53215,,0.870122765,0.869762536,2,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_West
1,5948,EO-217,2999.955996,4087,EO-217,4087,1,6.94444E-05,775.7149048,53216,,0,0,0,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_West
1,5949,EP-217,2999.955996,4088,EP-217,4088,1,6.94444E-05,1138.750488,53217,,3.559288153,3.55919387,15,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923532,4.83826E-05,South_West
1,5950,EQ-217,2999.955996,4089,EQ-217,4089,1,6.94444E-05,1316.903198,53218,,1.77878943,1.780007093,12,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_West
1,5951,ER-217,2999.955996,0,ER-217,0,0,0,0,53219,,1.854982484,1.856469798,11,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_West
1,5952,ES-217,2999.955996,4090,ES-217,4090,1,6.94444E-05,1875.210327,53220,,8.026192999,8.028305718,36,0,0,0,0,1,1,1,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_East
1,5953,ET-217,2999.955996,4091,ET-217,4091,1,6.94444E-05,1629.903198,53221,,1.368102729,1.368102976,5,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_East
1,5954,EU-217,2999.955996,4092,EU-217,4092,1,6.94444E-05,1077.033936,53222,,0.532795753,0.532361367,4,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_East
1,5955,EV-217,2999.955996,4093,EV-217,4093,1,6.94444E-05,882.9057617,53223,,1.142140588,1.141776248,7,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923532,4.83826E-05,South_East
1,5956,EW-217,2999.955996,4094,EW-217,4094,1,6.94444E-05,567.2120361,53224,,0.73979417,0.740153846,1,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_East
1,5957,EX-217,2999.955996,0,EX-217,0,0,0,0,53225,,1.211403732,1.210528028,2,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_East
1,5958,EY-217,2999.955996,4095,EY-217,4095,1,6.94444E-05,631.5703735,53226,,1.641973156,1.642333005,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923853,4.83838E-05,South_East
1,5959,EZ-217,2999.955996,4096,EZ-217,4096,1,6.94444E-05,1509.418823,53227,,2.382334608,2.38260063,10,0,0,0,0,1,1,1,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_East
1,5960,FA-217,2999.955996,4097,FA-217,4097,1,6.94444E-05,2450.894775,53228,,2.435121827,2.43374051,8,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923851,4.83838E-05,South_East
1,5961,FB-217,2999.955996,0,FB-217,0,0,0,0,53229,,5.922284614,5.922354829,37,0,0,0,0,1,1,1,2999.955996,649499.99886200000,0,0,0.025923534,4.83826E-05,South_East
1,5962,FC-217,2999.955996,4098,FC-217,4098,1,6.94444E-05,3456.499023,53230,,2.986964463,2.986773501,19,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.013517998,6.62893E-06,South_East
1,6086,EH-216,2999.955996,0,EH-216,0,0,0,0,53705,,8.068829654,8.068803868,58,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.023280078,3.43724E-05,South_West
1,6087,EI-216,2999.955996,4198,EI-216,4198,1,6.94444E-05,1695.143677,53706,,5.451705203,5.450460001,44,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.020360686,2.24473E-05,South_West
1,6088,EJ-216,2999.955996,4199,EJ-216,4199,1,6.94444E-05,1556.631714,53707,,3.692919479,3.69176061,24,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_West
1,6089,EK-216,2999.955996,4200,EK-216,4200,1,6.94444E-05,1324.516724,53708,,1.129105631,1.129018568,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025480117,4.69847E-05,South_West
1,6090,EL-216,2999.955996,4201,EL-216,4201,1,6.94444E-05,1253.13208,53709,,1.016663452,1.016667269,3,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_West
1,6091,EM-216,2999.955996,0,EM-216,0,0,0,0,53710,,1.220999378,1.220681896,4,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_West
1,6092,EN-216,2999.955996,4202,EN-216,4202,1,6.94444E-05,1213.050781,53711,,3.75978543,3.759322221,26,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_West
1,6093,EO-216,2999.955996,4203,EO-216,4203,1,6.94444E-05,1278.946167,53712,,1.40422131,1.404772996,6,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_West
1,6094,EP-216,2999.955996,4204,EP-216,4204,1,6.94444E-05,1695.790527,53713,,4.801025547,4.798212704,28,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922896,4.838E-05,South_West
1,6095,EQ-216,2999.955996,4205,EQ-216,4205,1,6.94444E-05,1641.810669,53714,,2.272964567,2.27304265,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_West
1,6096,ER-216,2999.955996,0,ER-216,0,0,0,0,53715,,6.178116993,6.178049692,40,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_West
1,6097,ES-216,2999.955996,4206,ES-216,4206,1,6.94444E-05,3467.321777,53716,,6.263855595,6.263904143,23,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_East
1,6098,ET-216,2999.955996,4207,ET-216,4207,1,6.94444E-05,2496.247314,53717,,0.749491768,0.748671596,3,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_East
1,6099,EU-216,2999.955996,4208,EU-216,4208,1,6.94444E-05,1234.575806,53718,,1.689031724,1.686858581,6,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_East
1,6100,EV-216,2999.955996,4209,EV-216,4209,1,6.94444E-05,919.8336792,53719,,1.797939763,1.797496802,6,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922896,4.838E-05,South_East
1,6101,EW-216,2999.955996,4210,EW-216,4210,1,6.94444E-05,740.1638794,53720,,1.542353945,1.542139462,6,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_East
